year_month,TAVG
2017-01,22.015806451612903
2017-02,22.188363636363636
2017-03,24.59344262295082
2017-04,33.302
2017-05,41.00290322580645
2017-06,53.984
2017-07,61.13677419354839
2017-08,60.251
2017-09,56.07714285714285
